RFO_Part,Section_Number,Propositional_ID,Natural_Language,Atomic_Propositions,Formal_Logic_Statement,Dependencies,Justification_Rules,Validation_Status,Logical_Check,Real_World_Check,Validation_Notes,Confidence_Level
4,Part 4,P_4,"Part 4 - Administrative and Information Matters. This part prescribes policies and procedures relating to the administrative aspects of contract execution, contractor-submitted documents, reporting, retention, and files.",P_4: Administrative and Information Matters,P_4 = P_4_000 ∧ P_4_001 ∧ P_4_002 ∧ P_4_4_1 ∧ P_4_4_2 ∧ P_4_4_3 ∧ P_4_4_4 ∧ P_4_4_5 ∧ P_4_4_6 ∧ P_4_4_7,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Root proposition for FAR Part 4. All subparts and introductory sections are children.,HIGH
4,Subpart 4.1,P_4_4_1,Subpart 4.1 - Presolicitation. This subpart contains the following sections: P_4_101.,P_4_4_1: Presolicitation,P_4_4_1 = P_4_101,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.2,P_4_4_2,"Subpart 4.2 - Solicitation, Evaluation, and Award. This subpart contains the following sections: P_4_201, P_4_202, P_4_202_1, P_4_202_2, P_4_202_3, P_4_202_4, P_4_202_5, P_4_203, P_4_203_1, P_4_203_2, P_4_204, P_4_205, P_4_206, P_4_207, P_4_208.","P_4_4_2: Solicitation, Evaluation, and Award",P_4_4_2 = P_4_201 ∧ P_4_202 ∧ P_4_202_1 ∧ P_4_202_2 ∧ P_4_202_3 ∧ P_4_202_4 ∧ P_4_202_5 ∧ P_4_203 ∧ P_4_203_1 ∧ P_4_203_2 ∧ P_4_204 ∧ P_4_205 ∧ P_4_206 ∧ P_4_207 ∧ P_4_208,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.3,P_4_4_3,"Subpart 4.3 - Post-award. This subpart contains the following sections: P_4_301, P_4_302, P_4_303, P_4_304, P_4_305, P_4_306, P_4_307, P_4_308, P_4_308_1, P_4_308_2, P_4_309.",P_4_4_3: Post-award,P_4_4_3 = P_4_301 ∧ P_4_302 ∧ P_4_303 ∧ P_4_304 ∧ P_4_305 ∧ P_4_306 ∧ P_4_307 ∧ P_4_308 ∧ P_4_308_1 ∧ P_4_308_2 ∧ P_4_309,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.4,P_4_4_4,Subpart 4.4 - [Reserved].,P_4_4_4: [Reserved],P_4_4_4,None,Direct Statement,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.5,P_4_4_5,Subpart 4.5 - [Reserved].,P_4_4_5: [Reserved],P_4_4_5,None,Direct Statement,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.6,P_4_4_6,Subpart 4.6 - [Reserved].,P_4_4_6: [Reserved],P_4_4_6,None,Direct Statement,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,Subpart 4.7,P_4_4_7,"Subpart 4.7 - Contractor Records Retention. This subpart contains the following sections: P_4_700, P_4_701, P_4_702, P_4_703, P_4_704, P_4_705.",P_4_4_7: Contractor Records Retention,P_4_4_7 = P_4_700 ∧ P_4_701 ∧ P_4_702 ∧ P_4_703 ∧ P_4_704 ∧ P_4_705,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Parent proposition for subpart. Children represent sections within this subpart.,HIGH
4,4.000,P_4_000,"4.000 Scope of part. This part prescribes policies and procedures relating to the administrative aspects of contract execution, contractor-submitted documents, reporting, retention, and files.","P_4_000: This part prescribes policies and procedures relating to the administrative aspects of contract execution, contractor-submitted documents, reporting, retention, and files.",P_4_000,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Descriptive requirement.,HIGH
4,4.001,P_4_001,"4.001 Definitions. As used in this part- Executivemeans officers, managing partners, or any other employees in management positions. First-tier subcontractmeans a subcontract awarded directly by the Contractor to acquire supplies or services (including construction) for performing a prime contract. It does not include the contractor’s supplier agreements with vendors, such as long-term arrangements for materials or supplies that benefit multiple contracts and/or the costs of which are normally applied to a contractor’s general and administrative expenses or indirect costs. Generic entity identifiermeans an identifier assigned to a category of vendors, not specific to any individual or entity. Total compensationmeans the cash and noncash dollar value earned by the executive during the contractor’s preceding fiscal year and includes the information described at 17 CFR 229.402(c)(2).",P_4_001_2: .,P_4_001,CFR_17_229_402,Addition (Add): Rule 8,PENDING_REVIEW,PASS,PASS,Descriptive requirement.,HIGH
4,4.002,P_4_002,"4.002 Electronic commerce in contracting. Agencies must use electronic commerce to the maximum extent that is practicable and cost-effective, see 41 U.S.C. 2301.","P_4_002: Agencies must use electronic commerce to the maximum extent that is practicable and cost-effective, see 41 U.S.C. 2301.",P_4_002,USC_41_2301_,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Mandatory requirement.,HIGH
4,4.101,P_4_101,"4.101 Contract files. (a)Each office performing contracting, contract administration, or paying functions must establish a file containing the records of each solicitation and contractual action. (b)The file documentation must comprehensively record the transaction history to ensure— (1)A complete background is available for making informed decisions at each step in the acquisition process; (2)There is clear support for all actions taken; (3)Necessary information is accessible for reviews and investigations; and (4)Essential facts are available in case litigation or congressional inquiries arise.","P_4_101_a: Each office performing contracting, contract administration, or paying functions must establish a file containing the records of each solicitation and...; P_4_101_4: Essential facts are available in case litigation or congressional inquiries arise.",P_4_101 = P_4_101_a ∨ P_4_101_4,None,Addition (Add): Rule 8,PENDING_REVIEW,PASS,PASS,Mandatory requirement.,HIGH
