"RFO_Part","Section_Number","Propositional_ID","Natural_Language","Atomic_Propositions","Formal_Logic_Statement","Dependencies","Justification_Rules","Validation_Status","Logical_Check","Real_World_Check","Validation_Notes","Confidence_Level"
"7","7.000","P_7_000","This part prescribes policies and procedures for- (a) Acquisition planning and developing acquisition plans; (b) Determining whether to use commercial or Government resources to acquire supplies or services; (c) Deciding whether it is more economical to lease or to purchase equipment; and (d) Determining whether functions are inherently governmental.","P_7_000_a: This part prescribes policies and procedures for acquisition planning and developing acquisition plans; P_7_000_b: This part prescribes policies and procedures for determining whether to use commercial or Government resources to acquire supplies or services; P_7_000_c: This part prescribes policies and procedures for deciding whether it is more economical to lease or to purchase equipment; P_7_000_d: This part prescribes policies and procedures for determining whether functions are inherently governmental","P_7_000 = P_7_000_a ∧ P_7_000_b ∧ P_7_000_c ∧ P_7_000_d","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Scope section establishes four areas covered by Part 7. All four areas are conjunctive requirements of the part. No contradictions detected.","HIGH"
"7","7.101","P_7_101","As used in this subpart- Acquisition streamlining means more efficient and effective use of resources to design and develop or produce quality systems. Life-cycle cost means the total cost to the Government of acquiring, operating, supporting, and (if applicable) disposing of the items being acquired. Order means an order placed under a- (1) Federal Supply Schedule contract; or (2) Task-order contract or delivery-order contract. Planner means the person or office responsible for developing and maintaining a plan, whether written or not.","P_7_101_a: Acquisition streamlining means more efficient and effective use of resources to design and develop or produce quality systems; P_7_101_b: Life-cycle cost means the total cost to the Government of acquiring, operating, supporting, and (if applicable) disposing of the items being acquired; P_7_101_c: Order means an order placed under a Federal Supply Schedule contract or a task-order contract or delivery-order contract; P_7_101_d: Planner means the person or office responsible for developing and maintaining a plan, whether written or not","P_7_101 = P_7_101_a ∧ P_7_101_b ∧ P_7_101_c ∧ P_7_101_d","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Definitions section. Each definition is an independent atomic proposition. Order definition uses disjunction internally (FSS contract OR task/delivery-order contract). All four definitions must hold simultaneously.","HIGH"
"7","7.102","P_7_102","Requirements for acquisition planning including mandatory planning for all acquisitions, plan content requirements, competition and commercial product preferences, integration of personnel efforts, and written plan requirements for high-risk contracts.","P_7_102_a: Agencies must perform acquisition planning for all acquisitions; P_7_102_b: Acquisition plans must promote and provide for specified elements; P_7_102_c: Planning must integrate efforts of agency personnel; P_7_102_d: Written plan requirements for cost reimbursement and high-risk contracts","P_7_102 = P_7_102_a ∧ P_7_102_b ∧ P_7_102_c ∧ P_7_102_d","P_7_103","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Parent proposition for section 7.102. References 7.103 for written/oral plan determination.","HIGH"
"7","7.102(a)","P_7_102_a","Agencies must perform acquisition planning for all acquisitions. Agencies should establish procedures to determine when a written or oral acquisition plan is required (see 7.103). The record of the acquisition plan must be appropriate for the type of acquisition and document decisions and actions to ensure- (1) Information is available for making informed decisions at each step in the acquisition process; (2) There is clear support for all actions taken; (3) Necessary information is available for reviews or investigations; and (4) Essential facts are available in case litigation arises.","P_7_102_a1: Agencies must perform acquisition planning for all acquisitions; P_7_102_a2: Agencies should establish procedures to determine when a written or oral acquisition plan is required; P_7_102_a3: The record of the acquisition plan must be appropriate for the type of acquisition; P_7_102_a4: The record must document decisions and actions to ensure information is available for making informed decisions at each step in the acquisition process; P_7_102_a5: The record must ensure there is clear support for all actions taken; P_7_102_a6: The record must ensure necessary information is available for reviews or investigations; P_7_102_a7: The record must ensure essential facts are available in case litigation arises","P_7_102_a1 ∧ P_7_102_a2 ∧ P_7_102_a3 ∧ (P_7_102_a4 ∧ P_7_102_a5 ∧ P_7_102_a6 ∧ P_7_102_a7)","P_7_103","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","P_7_102_a2 uses 'should' indicating advisory/recommended, not mandatory. All other elements are mandatory ('must'). References 7.103 for plan requirement determination. Items (1)-(4) are conjunctive sub-requirements of the documentation requirement.","HIGH"
"7","7.102(b)","P_7_102_b","Acquisition plans must promote and provide for: (1) Acquisition of commercial products or commercial services, whenever feasible. If available commercial products or services do not meet agency needs, acquire nondevelopmental items, to the maximum extent practicable (10 U.S.C. 3453 and 41 U.S.C. 3307). (2) Full and open competition (see part 6). When using an exception to full and open competition, obtain competition to the maximum extent practicable for the procurement.(10 U.S.C. 3206(a)(1)and 41 U.S.C. 3306(a)(1)). (3) Selection of the appropriate contract type to fulfill the agency's needs. (4) Use of existing contracts, if appropriate, including interagency and intra-agency contracts, to fulfill the requirement, before awarding new contracts (see part 8).","P_7_102_b1: Acquisition plans must promote and provide for acquisition of commercial products or commercial services, whenever feasible; P_7_102_b1_alt: If available commercial products or services do not meet agency needs, acquire nondevelopmental items to the maximum extent practicable; P_7_102_b2: Acquisition plans must promote and provide for full and open competition; P_7_102_b2_alt: When using an exception to full and open competition, obtain competition to the maximum extent practicable; P_7_102_b3: Acquisition plans must promote and provide for selection of the appropriate contract type to fulfill the agency's needs; P_7_102_b4: Acquisition plans must promote and provide for use of existing contracts, if appropriate, including interagency and intra-agency contracts, to fulfill the requirement, before awarding new contracts","(P_7_102_b1 ∧ (~P_7_102_b1 ⊃ P_7_102_b1_alt)) ∧ (P_7_102_b2 ∧ (~P_7_102_b2 ⊃ P_7_102_b2_alt)) ∧ P_7_102_b3 ∧ P_7_102_b4","P_6, P_8","Conjunction (Conj): Rule 7; Material Implication (Impl): Rule 15","PENDING_REVIEW","PASS","PASS","Items (1) and (2) each contain conditional fallback requirements: if the primary approach is not feasible, a secondary approach applies. This creates implication structures. References Part 6 (competition) and Part 8 (existing contracts). Statutory citations: 10 U.S.C. 3453, 41 U.S.C. 3307, 10 U.S.C. 3206(a)(1), 41 U.S.C. 3306(a)(1).","MEDIUM"
"7","7.102(c)","P_7_102_c","Planning must integrate the efforts of agency personnel responsible for significant aspects of the acquisition to ensure that the Government meets its needs in the most effective, economical, and timely manner.","P_7_102_c: Planning must integrate the efforts of agency personnel responsible for significant aspects of the acquisition to ensure that the Government meets its needs in the most effective, economical, and timely manner","P_7_102_c","None","Simplification (Simp): Rule 6","PENDING_REVIEW","PASS","PASS","Single mandatory requirement. Atomic proposition.","HIGH"
"7","7.102(d)","P_7_102_d","A written plan is required for cost reimbursement and other high-risk contracts other than firm-fixed-price contracts. Agencies may require written plans for firm-fixed-price contracts as appropriate.","P_7_102_d1: A written plan is required for cost reimbursement and other high-risk contracts other than firm-fixed-price contracts; P_7_102_d2: Agencies may require written plans for firm-fixed-price contracts as appropriate","P_7_102_d1 ∧ P_7_102_d2","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","P_7_102_d1 is mandatory ('is required'). P_7_102_d2 is permissive ('may require'), representing discretionary authority for firm-fixed-price contracts.","HIGH"
"7","7.103","P_7_103","Agency-head responsibilities for establishing acquisition planning criteria, thresholds, and ensuring various acquisition planning requirements are met.","P_7_103_a: Agency head must establish acquisition planning criteria and thresholds; P_7_103_b: Agency head or designee responsible for ensuring specified requirements","P_7_103 = P_7_103_a ∧ P_7_103_b","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Parent proposition for section 7.103. Two main subsections covering establishment of criteria and ensuring compliance.","HIGH"
"7","7.103(a)","P_7_103_a","The agency head must establish agency acquisition planning criteria and thresholds for when increasingly greater detail and formality in the planning process is required. The agency procedures must- (1) Create streamlined acquisition planning procedures for using Governmentwide acquisition contracts or multi-agency contracts for requirements that are not complex, including for orders, particularly for repetitive orders; (2) Create streamlined acquisition planning procedures when an acquisition plan has been developed for a single indefinite delivery indefinite quantity contract to allow the resulting orders to be covered by and reference the same acquisition plan; (3) Allow for acquisition planning at the program level that covers multiple procurement actions. Acquisition plans may be on a system basis, individual contract basis, or individual order basis depending on the acquisition; (4) Consider streamlined acquisition planning procedures for procurements for commercial services and products, including COTS; (5) Establish criteria for identifying high-risk contracts; (6) Identify when design-to-cost and life-cycle-cost techniques will be used; and (7) Provide procedures to waive planning requirements for acquisitions because of an urgent need.","P_7_103_a0: The agency head must establish agency acquisition planning criteria and thresholds for when increasingly greater detail and formality in the planning process is required; P_7_103_a1: Agency procedures must create streamlined acquisition planning procedures for using Governmentwide acquisition contracts or multi-agency contracts for requirements that are not complex; P_7_103_a2: Agency procedures must create streamlined acquisition planning procedures when an acquisition plan has been developed for a single IDIQ contract; P_7_103_a3: Agency procedures must allow for acquisition planning at the program level that covers multiple procurement actions; P_7_103_a4: Agency procedures must consider streamlined acquisition planning procedures for procurements for commercial services and products including COTS; P_7_103_a5: Agency procedures must establish criteria for identifying high-risk contracts; P_7_103_a6: Agency procedures must identify when design-to-cost and life-cycle-cost techniques will be used; P_7_103_a7: Agency procedures must provide procedures to waive planning requirements for acquisitions because of an urgent need","P_7_103_a0 ∧ P_7_103_a1 ∧ P_7_103_a2 ∧ P_7_103_a3 ∧ P_7_103_a4 ∧ P_7_103_a5 ∧ P_7_103_a6 ∧ P_7_103_a7","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","All seven sub-items are mandatory requirements for agency procedures ('must'). Item (4) uses 'consider' which is softer than 'create' but still a mandatory procedural step. Items (1)-(7) are conjunctive requirements that agency procedures must satisfy.","HIGH"
"7","7.103(b)","P_7_103_b","The agency head or designee are responsible for ensuring: (1) Market research is conducted to define requirements and that the statement of work, statement of objectives, or performance work statement closely aligns with needed outcomes and cost estimates. (2) The principles of this subpart are used, as appropriate, for all acquisitions, whether a written plan is required or not. (3) Small business opportunities are considered in acquisitions to the maximum extent practicable (see 7.107 and part 19). (4) No purchase request is started or contract entered into that would result in the performance of an inherently governmental function by a contractor, and that all contracts or orders are adequately managed to ensure effective official control over contract or order performance (see subpart 7.5). (5) Effective agency responsiveness to disaster and emergencies using the authorities and flexibilities at parts 18 and 26. (6) Information security and supply chain security requirements (see part 40) and information and communication technology (ICT) accessibility standards (see part 39) are considered, as appropriate. (7) Before issuing a solicitation for advisory and assistance services for analyzing and evaluating solicitation proposals, a determination is made that there are insufficient covered personnel within the agency or from another Federal agency with the training and capability to do the analyzing and evaluating (see part 37). (8) Agency planners on information technology acquisitions comply with the capital planning and investment control requirements in 40 U.S.C. 11312 and OMB Circular A-130. (9) Acquisition plans and revisions to these plans are reviewed and approved to ensure compliance with FAR requirements.","P_7_103_b1: Agency head or designee must ensure market research is conducted to define requirements and that the SOW/SOO/PWS closely aligns with needed outcomes and cost estimates; P_7_103_b2: Agency head or designee must ensure the principles of this subpart are used for all acquisitions; P_7_103_b3: Agency head or designee must ensure small business opportunities are considered to the maximum extent practicable; P_7_103_b4: Agency head or designee must ensure no purchase request is started or contract entered into that would result in performance of an inherently governmental function by a contractor and that all contracts or orders are adequately managed; P_7_103_b5: Agency head or designee must ensure effective agency responsiveness to disaster and emergencies; P_7_103_b6: Agency head or designee must ensure information security and supply chain security requirements and ICT accessibility standards are considered; P_7_103_b7: Agency head or designee must ensure before issuing a solicitation for advisory and assistance services a determination is made of insufficient covered personnel; P_7_103_b8: Agency head or designee must ensure agency planners on IT acquisitions comply with capital planning and investment control requirements; P_7_103_b9: Agency head or designee must ensure acquisition plans and revisions are reviewed and approved for FAR compliance","P_7_103_b1 ∧ P_7_103_b2 ∧ P_7_103_b3 ∧ P_7_103_b4 ∧ P_7_103_b5 ∧ P_7_103_b6 ∧ P_7_103_b7 ∧ P_7_103_b8 ∧ P_7_103_b9","P_7_107, P_19, P_7_500, P_18, P_26, P_40, P_39, P_37","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Nine conjunctive responsibilities. P_7_103_b7 contains an implicit conditional: before issuing solicitation ⊃ determination must be made. Multiple cross-references to other FAR parts: 19 (small business), 7.5 (inherently governmental), 18 and 26 (emergencies), 40 (security), 39 (ICT), 37 (advisory services). Statutory reference: 40 U.S.C. 11312.","MEDIUM"
