RFO_Part,Section_Number,Propositional_ID,Natural_Language,Atomic_Propositions,Formal_Logic_Statement,Dependencies,Justification_Rules,Validation_Status,Logical_Check,Real_World_Check,Validation_Notes,Confidence_Level
13,13.000,P_13_000,"This part implements simplified procedures for the acquisition of noncommercial products and services valued at or below the simplified acquisition threshold (SAT) in accordance with 41 U.S.C. 1901-1903, 1905, and 3305.","P_13_000_a: This part implements simplified procedures for acquisition of noncommercial products and services; P_13_000_b: Acquisitions are valued at or below the SAT; P_13_000_c: Procedures are in accordance with 41 U.S.C. 1901-1903, 1905, and 3305",P_13_000 = P_13_000_a ∧ P_13_000_b ∧ P_13_000_c,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,"Declarative scope statement establishing Part 13 coverage. Three conjuncts define what (simplified procedures for noncommercial), threshold (at or below SAT), and statutory authority. Straightforward conjunction.",HIGH
13,13.001,P_13_001,Applicability requirements for use of simplified procedures for noncommercial acquisitions under this part.,"P_13_001: Applicability consists of conditions for use, procedural requirements with exceptions, prohibition on splitting, and reference to inapplicable laws",P_13_001 = P_13_001_a ∧ P_13_001_b ∧ P_13_001_c ∧ P_13_001_d,P_13_001_a; P_13_001_b; P_13_001_c; P_13_001_d,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for section 13.001. All four subsections collectively define when and how Part 13 procedures apply.,HIGH
13,13.001(a),P_13_001_a,The procedures in this part may be used only if there are no commercial products or commercial services that can satisfy the agency's needs (see part 12) and the supplies or services are not available from a required source (see part 8).,P_13_001_a_1: No commercial products or commercial services can satisfy agency's needs; P_13_001_a_2: Supplies or services are not available from a required source,P_13_001_a = P_13_001_a_1 ∧ P_13_001_a_2,P_13_001_a_1; P_13_001_a_2,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,"Both conditions must be met before Part 13 procedures may be used. The 'only if' language creates a biconditional gate, but because this is a permissive 'may be used' rather than mandatory, conjunction of prerequisites is the accurate formalization. Commercial availability (Part 12) and required source (Part 8) must both be ruled out.",HIGH
13,13.001(a)(1),P_13_001_a_1,There are no commercial products or commercial services that can satisfy the agency's needs (see part 12).,P_13_001_a_1: No commercial products or commercial services can satisfy agency's needs,P_13_001_a_1 = ~P_12_commercial_available,P_12,Negation (Neg): Rule 10,VALIDATED,PASS,PASS,Negation of commercial product/service availability. This is a factual determination the agency must make before using Part 13. References Part 12 for commercial item procedures.,MEDIUM
13,13.001(a)(2),P_13_001_a_2,The supplies or services are not available from a required source (see part 8).,P_13_001_a_2: Supplies or services are not available from a required source,P_13_001_a_2 = ~P_8_required_source_available,P_8,Negation (Neg): Rule 10,VALIDATED,PASS,PASS,"Negation of required source availability. Agency must verify no required source (e.g., AbilityOne, Federal Prison Industries) can fill the need before using Part 13. References Part 8.",MEDIUM
13,13.001(b),P_13_001_b,"Follow the procedures in this part when procuring noncommercial products and services valued at greater than the micro-purchase threshold (MPT) but at or below the SAT, except when procuring architect-engineering services, construction as a noncommercial service, or research and development.",P_13_001_b_1: Procurement is for noncommercial products and services; P_13_001_b_2: Value is greater than MPT but at or below SAT; P_13_001_b_3: Procurement is not for architect-engineering services; P_13_001_b_4: Procurement is not for construction as noncommercial service; P_13_001_b_5: Procurement is not for research and development,P_13_001_b = (P_13_001_b_1 ∧ P_13_001_b_2 ∧ P_13_001_b_3 ∧ P_13_001_b_4 ∧ P_13_001_b_5) ⊃ P_13_follow_procedures,P_13_001_b_1; P_13_001_b_2; P_13_001_b_3,Material Implication (Impl): Rule 15 [HIGH-RISK]; Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,"Parent proposition with conditional structure. When all five conditions are met (noncommercial, within threshold range, and none of the three exceptions apply), Part 13 procedures are mandatory ('follow'). HIGH-RISK due to material implication. The exceptions are carved out as negations in the antecedent rather than separate conditionals.",MEDIUM
13,13.001(b)(1),P_13_001_b_1,"When procuring architect-engineering services, follow the short selection process at 36.602-5.",P_13_001_b_1_a: Procurement is for architect-engineering services; P_13_001_b_1_b: Follow short selection process at 36.602-5,P_13_001_b_1_a ⊃ P_13_001_b_1_b,P_36_602_5,Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,"Conditional exception: when the procurement is for A-E services, the mandatory action is to follow 36.602-5 instead of Part 13. HIGH-RISK due to material implication but the conditional trigger is unambiguous.",MEDIUM
13,13.001(b)(2),P_13_001_b_2,"When procuring construction as a noncommercial service, comply with the requirements in part 36 for construction contracts and subpart 22.4 on labor standards for contracts involving construction.",P_13_001_b_2_a: Procurement is for construction as noncommercial service; P_13_001_b_2_b: Comply with Part 36 requirements for construction contracts; P_13_001_b_2_c: Comply with subpart 22.4 on labor standards for contracts involving construction,P_13_001_b_2_a ⊃ (P_13_001_b_2_b ∧ P_13_001_b_2_c),P_36; P_22_4,Material Implication (Impl): Rule 15 [HIGH-RISK]; Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,"Conditional exception with conjunctive consequent. When construction is procured as noncommercial, both Part 36 and Subpart 22.4 compliance are mandatory. Two separate regulatory regimes apply simultaneously.",MEDIUM
13,13.001(b)(3),P_13_001_b_3,"When procuring research and development, use the procedures in this part in conjunction with the procedures in part 35, as appropriate.",P_13_001_b_3_a: Procurement is for research and development; P_13_001_b_3_b: Use Part 13 procedures in conjunction with Part 35 procedures,P_13_001_b_3_a ⊃ P_13_001_b_3_b,P_35,Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,"Conditional exception for R&D. Unlike the other two exceptions which replace Part 13, this one supplements Part 13 with Part 35. 'As appropriate' introduces discretion but the core requirement (use both) is mandatory. HIGH-RISK due to implication.",MEDIUM
13,13.001(c),P_13_001_c,"Do not divide requirements, the aggregate value of which exceeds the SAT, merely to permit use of the procedures in this part.",P_13_001_c_a: Requirements have aggregate value exceeding SAT; P_13_001_c_b: Requirements are divided merely to permit use of Part 13 procedures,P_13_001_c = ~(P_13_001_c_a ∧ P_13_001_c_b),None,Negation (Neg): Rule 10; Conjunction (Conj): Rule 7; De Morgan's Rule (DeM): Rule 11,VALIDATED,PASS,PASS,"Prohibition on requirement splitting. The negation applies to the conjunction of both conditions: having aggregate value above SAT AND dividing solely to use Part 13. This is the anti-bundling/splitting rule. Splitting for legitimate reasons (different delivery schedules, different vendors) is not prohibited.",HIGH
