RFO_Part,Section_Number,Propositional_ID,Natural_Language,Atomic_Propositions,Formal_Logic_Statement,Dependencies,Justification_Rules,Validation_Status,Logical_Check,Real_World_Check,Validation_Notes,Confidence_Level
49,49.000,P_49_000,This part covers the policy and procedures for terminating contracts early and prescribes contract clauses and forms for termination.,P_49_000_a: Part 49 covers policy and procedures for early contract termination; P_49_000_b: Part 49 prescribes contract clauses and forms for termination,P_49_000_a ^ P_49_000_b,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition aggregating scope coverage (a) and prescriptions (b). Conjunction appropriate as both define the part scope.,HIGH
49,49.000,P_49_000_a,"This part covers the policy and procedures for terminating contracts early. The Government can terminate contracts for two main reasons: (1) For its own convenience; (2) Because the contractor failed to perform (called ""default"").",P_49_000_a_1: Government may terminate contracts for convenience; P_49_000_a_2: Government may terminate contracts for contractor default,P_49_000_a_1 v P_49_000_a_2,None,Addition (Add): Rule 8,VALIDATED,PASS,PASS,Disjunctive: termination is for convenience OR default. These are the two exclusive termination bases.,HIGH
49,49.000,P_49_000_a_1,The Government can terminate contracts for its own convenience.,P_49_000_a_1_a: Government has authority to terminate; P_49_000_a_1_b: Termination basis is Government convenience,P_49_000_a_1_a ^ P_49_000_a_1_b,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Atomic: Government authority to terminate for convenience is a foundational principle of contract termination.,HIGH
49,49.000,P_49_000_a_2,"The Government can terminate contracts because the contractor failed to perform (called ""default"").",P_49_000_a_2_a: Government has authority to terminate; P_49_000_a_2_b: Termination basis is contractor default (failure to perform),P_49_000_a_2_a ^ P_49_000_a_2_b,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Atomic: Government authority to terminate for default. Default defined as failure to perform.,HIGH
49,49.000,P_49_000_b,This part prescribes: (1) The contract clauses relating to termination and excusable delay; and (2) Instructions for using termination and settlement forms.,P_49_000_b_1: Part 49 prescribes contract clauses for termination and excusable delay; P_49_000_b_2: Part 49 prescribes instructions for termination and settlement forms,P_49_000_b_1 ^ P_49_000_b_2,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Conjunctive: part prescribes both clauses AND form instructions.,HIGH
49,49.000,P_49_000_b_1,This part prescribes the contract clauses relating to termination and excusable delay.,P_49_000_b_1: Part 49 prescribes contract clauses relating to termination and excusable delay,P_49_000_b_1,P_49_501; P_49_502; P_49_503; P_49_504; P_49_505,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Atomic. Cross-references subpart 49.5 which contains the actual clause prescriptions.,MEDIUM
49,49.000,P_49_000_b_2,This part prescribes instructions for using termination and settlement forms.,P_49_000_b_2: Part 49 prescribes instructions for termination and settlement forms,P_49_000_b_2,P_49_601; P_49_602; P_49_603,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Atomic. Cross-references subpart 49.6 which contains forms and formats.,MEDIUM
49,49.001,P_49_001,Definitions used in Part 49.,"P_49_001_a: ""Other work"" means Government and commercial work the contractor is doing or plans to do, excluding work on the terminated contract; P_49_001_b: ""Plant clearance period"" means the period starting at contract completion/termination and ending 90 days after CO receives acceptable inventory schedules; P_49_001_c: ""Settlement agreement"" means a written agreement in the form of a contract modification settling all or part of a settlement proposal; P_49_001_d: ""Settlement proposal"" means a contractor or subcontractor proposal for ending a terminated contract, using required forms, counting as claims under false claims laws (18 USC 287, 31 USC 3729); P_49_001_e: ""Unsettled contract change"" means a contract change or term requiring a formal modification that has not been executed",P_49_001_a ^ P_49_001_b ^ P_49_001_c ^ P_49_001_d ^ P_49_001_e,P_49_602,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Definitional section. All five definitions apply simultaneously. Settlement proposal definition notably includes false claims liability under 18 USC 287 and 31 USC 3729.,HIGH
49,49.002,P_49_002,Applicability provisions for Part 49.,P_49_002_a: Applicability to contracts with termination clauses; P_49_002_b: Subcontract settlement requirements; P_49_002_c: Equitable adjustment authority; P_49_002_d: Settlement amount calculation method,P_49_002_a ^ P_49_002_b ^ P_49_002_c ^ P_49_002_d,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for applicability. All four subprovisions apply concurrently.,HIGH
49,49.002,P_49_002_a,Applicability of Part 49 to contracts.,P_49_002_a_1: Part 49 applies to contracts allowing termination; P_49_002_a_2: Part 49 does not apply to commercial product/service contracts under Part 12,P_49_002_a_1 ^ P_49_002_a_2,P_49_002_a_1; P_49_002_a_2,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent: both the applicability rule and the commercial exclusion apply together.,HIGH
