"RFO_Part","Section_Number","Propositional_ID","Natural_Language","Atomic_Propositions","Formal_Logic_Statement","Dependencies","Justification_Rules","Validation_Status","Logical_Check","Real_World_Check","Validation_Notes","Confidence_Level"
"1.0 (General)","1.000","P_1_000","This part describes the framework and guiding principles for the Federal Acquisition Regulations System (the System).","P_1_000_a: This part describes the framework and guiding principles for the Federal Acquisition Regulations System (the System)","P_1_000_a","None","Simplification (Simp): Rule 6","PENDING_REVIEW","PASS","PASS","Scope statement. Single atomic proposition. No logical complexity.","HIGH"
"1.1 (Framework)","1.101","P_1_101","1.101 Framework. The System is a collection of acquisition regulations and guidance, and consists of the FAR, agency acquisition regulations, and acquisition guides. The System does not include internal guidance supplementing agency acquisition regulations.","P_1_101_a: The System is a collection of acquisition regulations and guidance; P_1_101_b: The System does not include internal guidance supplementing agency acquisition regulations described in paragraph (a)(2)","P_1_101_a ∧ P_1_101_b","P_2_101","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Parent proposition combining scope and exclusion. References 2.101 for definition of acquisitions.","HIGH"
"1.1 (Framework)","1.101(a)","P_1_101_a","The System is a collection of acquisition regulations and guidance, and consists of the following: (1) The Federal Acquisition Regulation (FAR), which is a single acquisition regulation for all acquisitions (see 2.101), and all executive agencies. The FAR is located at 48 CFR chapter 1. (2) Agency acquisition regulations that implement or supplement the FAR (see 48 CFR chapters 2 through 99); and (3) Acquisition guides, which show best practices (FAR Companion).","P_1_101_a1: The FAR is a single acquisition regulation for all acquisitions and all executive agencies located at 48 CFR chapter 1; P_1_101_a2: Agency acquisition regulations implement or supplement the FAR (see 48 CFR chapters 2 through 99); P_1_101_a3: Acquisition guides show best practices (FAR Companion)","P_1_101_a1 ∧ P_1_101_a2 ∧ P_1_101_a3","P_2_101","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Three components of the System conjoined. All three exist simultaneously as parts of the System. Cross-reference to 2.101 for acquisitions definition.","HIGH"
"1.1 (Framework)","1.101(b)","P_1_101_b","The System does not include internal guidance supplementing agency acquisition regulations described in paragraph (a)(2) of this section.","P_1_101_b_a: The System does not include internal guidance supplementing agency acquisition regulations described in paragraph (a)(2)","P_1_101_b_a","P_1_101_a","Simplification (Simp): Rule 6","PENDING_REVIEW","PASS","PASS","Negation proposition excluding internal guidance from System scope. Depends on (a)(2) for what agency acquisition regulations are. The atom captures the full negative statement ('does not include') so the formal logic affirms the atom directly without additional negation.","HIGH"
"1.1 (Framework)","1.102","P_1_102","1.102 Guiding principles for the System. The System will meet agency missions, ensure effective use of taxpayer dollars, maximize commercial buying, award to superior performers, promote competition, conduct business with integrity, and delegate authority to the lowest level consistent with law. Acquisition team members exercise initiative and sound business judgment, may assume permissive authority for strategies not addressed in the FAR and not prohibited by law, and can propose deviations. The System must focus on risk management.","P_1_102_a: The System will fulfill the guiding principles in paragraphs (a)(1) through (a)(7); P_1_102_b: Acquisition team members exercise initiative, sound business judgment, and have permissive authority and deviation proposal rights; P_1_102_c: The System must focus on risk management","P_1_102_a ∧ P_1_102_b ∧ P_1_102_c","P_1_301","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Parent proposition for guiding principles section. References subpart 1.3 for deviations.","MEDIUM"
"1.1 (Framework)","1.102(a)","P_1_102_a","The System will- (1) Meet an agency's mission efficiently and effectively first; (2) Ensure the most effective use of taxpayer dollars in ways that recognize the value of time, encourage innovation, promote merit, satisfy the customer, and balance these interests and objectives; (3) Maximize buying commercial products or commercial services rather than requiring Government-unique solutions; (4) Award contracts to contractors who demonstrate a superior ability to perform; (5) Promote competition and fair opportunity; (6) Conduct business with integrity, fairness, and openness; and (7) Delegate the authority to make decisions and the accountability for the decisions to the lowest level within the System, consistent with law. The contracting officer must have the authority, to the maximum extent practicable and consistent with law, to determine how and when to apply rules, regulations, and policies on a specific contract.","P_1_102_a1: The System will meet an agency's mission efficiently and effectively first; P_1_102_a2: The System will ensure the most effective use of taxpayer dollars in ways that recognize the value of time, encourage innovation, promote merit, satisfy the customer, and balance these interests and objectives; P_1_102_a3: The System will maximize buying commercial products or commercial services rather than requiring Government-unique solutions; P_1_102_a4: The System will award contracts to contractors who demonstrate a superior ability to perform; P_1_102_a5: The System will promote competition and fair opportunity; P_1_102_a6: The System will conduct business with integrity, fairness, and openness; P_1_102_a7: The System will delegate the authority to make decisions and the accountability for the decisions to the lowest level within the System, consistent with law; P_1_102_a7_sup: The contracting officer must have the authority, to the maximum extent practicable and consistent with law, to determine how and when to apply rules, regulations, and policies on a specific contract","P_1_102_a1 ∧ P_1_102_a2 ∧ P_1_102_a3 ∧ P_1_102_a4 ∧ P_1_102_a5 ∧ P_1_102_a6 ∧ (P_1_102_a7 ∧ P_1_102_a7_sup)","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Seven guiding principles conjoined as mandatory system attributes. All principles apply simultaneously. Paragraph (a)(7) includes supplementary requirement about contracting officer authority. ""Will"" treated as mandatory future commitment. ""Must"" in (a)(7) supplement is mandatory requirement.","HIGH"
"1.1 (Framework)","1.102(b)","P_1_102_b","(b)(1) Acquisition team members in the System include Government acquisition representatives from the technical, supply, sourcing, small business and procurement areas; the customers they support; and the contractors who deliver the products and services. (2) The role of each acquisition team member in the System is to exercise personal initiative and sound business judgment to meet the agency's mission and manage risk. (3) To continually promote innovation, the FAR encourages acquisition team members to pursue new approaches, and document successes and lessons learned. (4) In this spirit, acquisition team members may assume that if a specific strategy, practice, policy, or procedure is in the best interests of the Government and is not addressed in the FAR, nor prohibited by law (statute or case law), Executive order or other regulation, then they are allowed to use the strategy, practice, policy, or procedure. (5) Acquisition team members should work together as a team and be empowered to make decisions within their area of responsibility. (6) Acquisition team members can propose deviations from FAR regulations if the deviation would promote economy, efficiency, or innovation (see subpart 1.3).","P_1_102_b1: Acquisition team members include Government acquisition representatives from technical, supply, sourcing, small business and procurement areas, the customers they support, and contractors who deliver products and services; P_1_102_b2: The role of each acquisition team member is to exercise personal initiative and sound business judgment to meet the agency's mission and manage risk; P_1_102_b3: The FAR encourages acquisition team members to pursue new approaches and document successes and lessons learned; P_1_102_b4_cond: A specific strategy, practice, policy, or procedure is in the best interests of the Government; P_1_102_b4_cond2: The strategy is not addressed in the FAR nor prohibited by law, Executive order or other regulation; P_1_102_b4_result: Acquisition team members are allowed to use the strategy, practice, policy, or procedure; P_1_102_b5: Acquisition team members should work together as a team and be empowered to make decisions within their area of responsibility; P_1_102_b6_cond: The deviation would promote economy, efficiency, or innovation; P_1_102_b6_result: Acquisition team members can propose deviations from FAR regulations","P_1_102_b1 ∧ P_1_102_b2 ∧ P_1_102_b3 ∧ ((P_1_102_b4_cond ∧ P_1_102_b4_cond2) ⊃ P_1_102_b4_result) ∧ P_1_102_b5 ∧ (P_1_102_b6_cond ⊃ P_1_102_b6_result)","P_1_301","Conjunction (Conj): Rule 7; Material Implication (Impl): Rule 15","PENDING_REVIEW","PASS","PASS","Complex section with six paragraphs. Paragraph (b)(4) contains conditional ""if...then"" pattern mapped to material implication: if strategy is in Government's best interest AND not addressed/prohibited, then allowed. Paragraph (b)(5) uses ""should"" flagged as recommended not mandatory. Paragraph (b)(6) contains conditional mapped to implication. Cross-reference to subpart 1.3 for deviations. HIGH-RISK: Material Implication used in (b)(4) and (b)(6) verified against source conditional language.","MEDIUM"
"1.1 (Framework)","1.102(c)","P_1_102_c","To achieve efficient operations, the System must focus on ""risk management."" Attempting to eliminate all risk is prohibitive in terms of cost to the taxpayer.","P_1_102_c_a: The System must focus on risk management to achieve efficient operations; P_1_102_c_b: Attempting to eliminate all risk is prohibitive in terms of cost to the taxpayer","P_1_102_c_a ∧ P_1_102_c_b","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Mandatory requirement (""must"") for risk management combined with policy rationale. Both propositions operate together as policy directive.","HIGH"
"1.1 (Framework)","1.103","P_1_103","1.103 Authority. (a) The System has been developed according to the requirements of 41 U.S.C. chapter 13, Acquisition Councils. (b) The Federal Acquisition Regulatory Council, or FAR Council, consists of the Administrator for Federal Procurement Policy, the Secretary of Defense, the Administrator of General Services, and the Administrator of National Aeronautics and Space. The FAR is prepared and jointly issued by the FAR Council under their several statutory authorities.","P_1_103_a: The System has been developed according to the requirements of 41 U.S.C. chapter 13, Acquisition Councils; P_1_103_b: The FAR Council consists of the Administrator for Federal Procurement Policy, the Secretary of Defense, the Administrator of General Services, and the Administrator of National Aeronautics and Space, and the FAR is prepared and jointly issued by the FAR Council under their several statutory authorities","P_1_103_a ∧ P_1_103_b","None","Conjunction (Conj): Rule 7","PENDING_REVIEW","PASS","PASS","Authority section with two factual statements. Both are definitional/declarative. External statutory reference to 41 U.S.C. chapter 13.","HIGH"
"1.1 (Framework)","1.104","P_1_104","1.104 Publication and code arrangement. Changes to the FAR are published in the Federal Register. The FAR is published in the CFR and at acquisition.gov. Each numbered unit of an agency regulation codified in the CFR must begin with the chapter number (but chapter number not included in FAR units). If required by 41 U.S.C. 1707, proposed revisions must be published in the Federal Register for public comment. GSA is responsible for the FAR Regulatory Secretariat.","P_1_104_a: Publication requirements for FAR changes and cumulative versions; P_1_104_b: Numbering convention for agency acquisition regulations in the CFR; P_1_104_c: Citation conventions for FAR references; P_1_104_d: Proposed revisions publication requirement when triggered by 41 U.S.C. 1707; P_1_104_e: GSA responsibility for FAR Regulatory Secretariat","P_1_104_a ∧ P_1_104_b ∧ P_1_104_c ∧ P_1_104_d ∧ P_1_104_e","None","Conjunction (Conj): Rule 7; Material Implication (Impl): Rule 15","PENDING_REVIEW","PASS","PASS","Parent proposition. Contains conditional in (d) for 41 U.S.C. 1707 trigger. Child propositions detail each paragraph.","MEDIUM"
