RFO_Part,Section_Number,Propositional_ID,Natural_Language,Atomic_Propositions,Formal_Logic_Statement,Dependencies,Justification_Rules,Validation_Status,Logical_Check,Real_World_Check,Validation_Notes,Confidence_Level
14,14.000,P_14_000,"This part prescribes (a) the basic requirements of contracting for supplies and services (including construction) by sealed bidding, (b) the information to be included in the invitation for bids (IFB), (c) procedures concerning the submission of bids, (d) requirements for opening, evaluating bids, awarding contracts, and (e) procedures for two-step sealed bidding.","P_14_000_a: Part 14 prescribes basic requirements of contracting by sealed bidding; P_14_000_b: Part 14 prescribes information to be included in IFB; P_14_000_c: Part 14 prescribes procedures concerning submission of bids; P_14_000_d: Part 14 prescribes requirements for opening, evaluating bids, and awarding contracts; P_14_000_e: Part 14 prescribes procedures for two-step sealed bidding",P_14_000 = P_14_000_a ∧ P_14_000_b ∧ P_14_000_c ∧ P_14_000_d ∧ P_14_000_e,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,"Scope statement establishing five conjunctive areas covered by Part 14. All five are descriptive of part coverage, not prescriptive requirements. Straightforward conjunction.",HIGH
14,14.1,P_14_1,General requirements for sealed bidding (Subpart 14.1).,"P_14_1: General requirements for sealed bidding consist of paragraphs (a), (b), and (c)",P_14_1 = P_14_1_a ∧ P_14_1_b ∧ P_14_1_c,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for Subpart 14.1. Three subsections are conjunctively required.,HIGH
14,14.1(a),P_14_1_a,"Sealed bidding is a method of contracting that employs competitive bids, public opening of bids, and awards.",P_14_1_a_1: Sealed bidding employs competitive bids; P_14_1_a_2: Sealed bidding employs public opening of bids; P_14_1_a_3: Sealed bidding employs awards,P_14_1_a = P_14_1_a_1 ∧ P_14_1_a_2 ∧ P_14_1_a_3,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Definitional statement. Three elements define sealed bidding. All three are necessary characteristics. Declarative 'is' establishes definition rather than mandate.,HIGH
14,14.1(b),P_14_1_b,Use sealed bidding whenever the conditions in 6.101(b) are met.,P_14_1_b_a: Conditions in 6.101(b) are met; P_14_1_b_b: Sealed bidding is used,P_14_1_b_a ⊃ P_14_1_b_b,None,Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,"Mandatory conditional: meeting conditions in 6.101(b) triggers requirement to use sealed bidding. 'Whenever' indicates material implication. External dependency on Part 6. HIGH-RISK because implication could be read as biconditional (sealed bidding used ONLY when conditions met), but text does not say 'only when.'",MEDIUM
14,14.1(c),P_14_1_c,The contracting officer must use firm-fixed-price contracts when using sealed bidding or fixed-price contracts with economic price adjustment clauses when some flexibility is necessary and feasible.,P_14_1_c_a: Sealed bidding is being used; P_14_1_c_b: CO uses firm-fixed-price contracts; P_14_1_c_c: Some flexibility is necessary and feasible; P_14_1_c_d: CO uses fixed-price contracts with economic price adjustment clauses,(P_14_1_c_a ∧ ~P_14_1_c_c) ⊃ P_14_1_c_b; (P_14_1_c_a ∧ P_14_1_c_c) ⊃ P_14_1_c_d,None,Material Implication (Impl): Rule 15 [HIGH-RISK]; Conjunction (Conj): Rule 7; Negation (Neg): Rule 10,PENDING_REVIEW,PASS,PASS,Two conditional paths: default is FFP when using sealed bidding; FP-EPA permitted when flexibility necessary and feasible. 'Must' makes both paths mandatory under their respective conditions. The 'or' here is exclusive based on whether flexibility condition is met. HIGH-RISK because the two implications partition the sealed bidding condition.,MEDIUM
14,14.201,P_14_201,Preparation of invitations for bids.,"P_14_201: Preparation of invitations for bids encompasses format, uniform contract format, requirements, economic purchase quantities, bid samples, descriptive literature, and solicitation provisions",P_14_201 = P_14_201_1 ∧ P_14_202 ∧ P_14_203 ∧ P_14_204 ∧ P_14_205 ∧ P_14_206 ∧ P_14_207,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for Subpart 14.2 Presolicitation. All subsections are conjunctively required components of IFB preparation.,HIGH
14,14.201-1,P_14_201_1,Format requirements for IFBs.,"P_14_201_1: Format requirements encompass uniform contract format use, exceptions, and simplified contract format option",P_14_201_1 = P_14_201_1_a ∧ P_14_201_1_b ∧ P_14_201_1_c_1 ∧ P_14_201_1_c_2,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for section 14.201-1 format requirements.,HIGH
14,14.201-1(a),P_14_201_1_a,"Contracting officers must prepare invitation for bids and contracts using parts I, II, III, and IV of the uniform contract format (see part 15) to the maximum practicable extent.",P_14_201_1_a_a: COs prepare IFBs and contracts using uniform contract format parts I-IV; P_14_201_1_a_b: Use is to maximum practicable extent,P_14_201_1_a = P_14_201_1_a_a ∧ P_14_201_1_a_b,EXT_Part_15,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Mandatory requirement ('must') qualified by 'to the maximum practicable extent.' Conjunction of the action and its qualifier. External reference to Part 15.,HIGH
14,14.201-1(b),P_14_201_1_b,"The uniform contract format is not required when contracting for: (1) Construction (see part 36); (2) Shipbuilding (including design, construction, and conversion), ship overhaul, and ship repair; (3) Subsistence items; (4) Supplies or services requiring special contract forms prescribed elsewhere in this regulation that are inconsistent with the uniform contract format; or (5) Firm-fixed-price or fixed-price with economic price adjustment acquisitions that use the simplified contract format.","P_14_201_1_b_1: Contracting for construction; P_14_201_1_b_2: Contracting for shipbuilding, ship overhaul, or ship repair; P_14_201_1_b_3: Contracting for subsistence items; P_14_201_1_b_4: Supplies or services requiring special contract forms inconsistent with UCF; P_14_201_1_b_5: FFP or FP-EPA acquisitions using simplified contract format; P_14_201_1_b_x: Uniform contract format is not required",(P_14_201_1_b_1 ∨ P_14_201_1_b_2 ∨ P_14_201_1_b_3 ∨ P_14_201_1_b_4 ∨ P_14_201_1_b_5) ⊃ ~P_14_201_1_a_a,EXT_Part_36,Material Implication (Impl): Rule 15 [HIGH-RISK]; Disjunction (Add): Rule 8; Negation (Neg): Rule 10,PENDING_REVIEW,PASS,PASS,Any one of five disjunctive conditions triggers exception to UCF requirement. 'Or' at end of list confirms disjunction. Each exception independently sufficient. Negates the parent requirement in P_14_201_1_a. HIGH-RISK: implication used to model exception to general rule.,MEDIUM
14,14.201-1(c)(1),P_14_201_1_c_1,The contracting officer may use the simplified contract format in lieu of the uniform contract format.,P_14_201_1_c_1_a: CO uses simplified contract format in lieu of uniform contract format,P_14_201_1_c_1 = P_14_201_1_c_1_a ∨ ~P_14_201_1_c_1_a,None,Addition (Add): Rule 8; Tautology (Taut): Rule 18,VALIDATED,PASS,PASS,Permissive 'may' creates discretionary authority. Tautology represents unrestricted choice. CO has full discretion to use or not use simplified format.,HIGH
14,14.201-1(c)(2),P_14_201_1_c_2,The contracting officer has flexibility in preparation and organization of the simplified contract format.,P_14_201_1_c_2: CO has flexibility in simplified contract format preparation and organization,P_14_201_1_c_2 = P_14_201_1_c_2_i ∧ P_14_201_1_c_2_ii ∧ P_14_201_1_c_2_iii ∧ P_14_201_1_c_2_iv ∧ P_14_201_1_c_2_v,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,"Parent for simplified contract format elements. 'Should be used to the maximum extent practical' is advisory, not mandatory. PENDING_REVIEW due to advisory 'should.'",MEDIUM
14,14.201-1(c)(2)(i),P_14_201_1_c_2_i,"Use Standard Form (SF) 1447, Solicitation/Contract, as the first page of the IFB.",P_14_201_1_c_2_i_a: SF 1447 is used as first page of IFB,P_14_201_1_c_2_i = P_14_201_1_c_2_i_a,None,None (atomic proposition),PENDING_REVIEW,PASS,PASS,Advisory requirement under 'should' framework of parent. Single atomic proposition. Format is advisory per parent's 'should' qualifier.,MEDIUM
14,14.201-1(c)(2)(ii),P_14_201_1_c_2_ii,"Include the following for each line item: (A) Line item number. (B) Description of supplies or services, or data sufficient to identify the requirement. (C) Quantity and unit of issue. (D) Unit price and amount. (E) Packaging and marking requirements. (F) Inspection and acceptance, quality assurance, and reliability requirements. (G) Place of delivery, performance and delivery dates, period of performance, and f.o.b. point. (H) Other item-peculiar information as necessary (e.g., individual fund citations).","P_14_201_1_c_2_ii_A: Line item number included; P_14_201_1_c_2_ii_B: Description of supplies or services included; P_14_201_1_c_2_ii_C: Quantity and unit of issue included; P_14_201_1_c_2_ii_D: Unit price and amount included; P_14_201_1_c_2_ii_E: Packaging and marking requirements included; P_14_201_1_c_2_ii_F: Inspection and acceptance, quality assurance, and reliability requirements included; P_14_201_1_c_2_ii_G: Place of delivery, performance and delivery dates, period of performance, and f.o.b. point included; P_14_201_1_c_2_ii_H: Other item-peculiar information as necessary included",P_14_201_1_c_2_ii = P_14_201_1_c_2_ii_A ∧ P_14_201_1_c_2_ii_B ∧ P_14_201_1_c_2_ii_C ∧ P_14_201_1_c_2_ii_D ∧ P_14_201_1_c_2_ii_E ∧ P_14_201_1_c_2_ii_F ∧ P_14_201_1_c_2_ii_G ∧ P_14_201_1_c_2_ii_H,None,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Eight conjunctive line item elements under advisory 'should' framework. All eight required for each line item when using simplified format. Item (H) includes discretionary 'as necessary' qualifier. PENDING_REVIEW due to parent advisory status.,MEDIUM
14,14.201-1(c)(2)(iii),P_14_201_1_c_2_iii,Include the clauses required by this regulation. Additional clauses must be incorporated only when necessary to the particular acquisition.,P_14_201_1_c_2_iii_a: Required clauses included; P_14_201_1_c_2_iii_b: Additional clauses incorporated only when necessary to particular acquisition,P_14_201_1_c_2_iii = P_14_201_1_c_2_iii_a ∧ (P_14_201_1_c_2_iii_b ⊃ P_14_201_1_c_2_iii_a),None,Conjunction (Conj): Rule 7; Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,"Two-part requirement: mandatory inclusion of required clauses, and conditional limitation on additional clauses. 'Must' in second sentence is mandatory. HIGH-RISK for implication modeling the necessity condition.",MEDIUM
14,14.201-1(c)(2)(iv),P_14_201_1_c_2_iv,List of documents and attachments (include if necessary).,P_14_201_1_c_2_iv_a: Necessity for documents and attachments list exists; P_14_201_1_c_2_iv_b: List of documents and attachments included,P_14_201_1_c_2_iv_a ⊃ P_14_201_1_c_2_iv_b,None,Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,Conditional inclusion: 'if necessary' triggers inclusion. Advisory under parent 'should' framework. HIGH-RISK: conditional trigger on necessity determination.,MEDIUM
14,14.201-1(c)(2)(v),P_14_201_1_c_2_v,"Representations and instructions: (A) Insert the IFB provisions that require representations, certifications, or the submission of other information by offerors. (B) Insert the IFB provisions required by 14.207. Include any other information/instructions necessary to guide offerors. (C) Insert all price related evaluation factors and any significant price related subfactors for award. (D) Upon award, the contracting officer must retain the representations and instructions in the contract file.","P_14_201_1_c_2_v_A: IFB provisions requiring representations, certifications, or other information inserted; P_14_201_1_c_2_v_B: IFB provisions required by 14.207 and other necessary information/instructions inserted; P_14_201_1_c_2_v_C: All price related evaluation factors and significant subfactors inserted; P_14_201_1_c_2_v_D: Upon award, CO retains representations and instructions in contract file",P_14_201_1_c_2_v = P_14_201_1_c_2_v_A ∧ P_14_201_1_c_2_v_B ∧ P_14_201_1_c_2_v_C ∧ P_14_201_1_c_2_v_D,P_14_207,Conjunction (Conj): Rule 7,PENDING_REVIEW,PASS,PASS,Four conjunctive requirements for representations and instructions section. Item (D) uses mandatory 'must' for post-award retention. Items (A)-(C) are advisory under parent 'should' but item (D) is independently mandatory. PENDING_REVIEW due to mixed advisory/mandatory elements.,MEDIUM
14,14.202,P_14_202,Uniform contract format.,"P_14_202: Uniform contract format encompasses Part I Schedule, Part II Contract clauses, Part III Documents/exhibits/attachments, and Part IV Representations and instructions",P_14_202 = P_14_202_1 ∧ P_14_202_2 ∧ P_14_202_3 ∧ P_14_202_4,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition for section 14.202. Four parts of uniform contract format are conjunctively required.,HIGH
14,14.202-1,P_14_202_1,The contracting officer must prepare the Schedule as follows.,P_14_202_1: Part I Schedule preparation encompasses Sections A through H,P_14_202_1 = P_14_202_1_a ∧ P_14_202_1_b ∧ P_14_202_1_c ∧ P_14_202_1_d ∧ P_14_202_1_e ∧ P_14_202_1_f ∧ P_14_202_1_g ∧ P_14_202_1_h,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent proposition. 'Must prepare' makes all sections mandatory. Eight conjunctive sections (A-H) required.,HIGH
14,14.202-1(a),P_14_202_1_a,"Section A, Solicitation/contract form.",P_14_202_1_a: Section A requirements include standard form selection and required content if standard forms not used,P_14_202_1_a = P_14_202_1_a_1 ∧ P_14_202_1_a_2,None,Conjunction (Conj): Rule 7,VALIDATED,PASS,PASS,Parent for Section A. Two conjunctive subsections covering form selection and alternative content requirements.,HIGH
14,14.202-1(a)(1),P_14_202_1_a_1,"For sealed bidding the SF 33 or the SF 1447 may be used. When the SF 1447 is used as the IFB document, insert the information in subdivisions (a)(2)(i) and (a)(2)(iv) of this section in block 9 of the SF 1447.",P_14_202_1_a_1_a: SF 33 is used for sealed bidding; P_14_202_1_a_1_b: SF 1447 is used for sealed bidding; P_14_202_1_a_1_c: SF 1447 is used as IFB document; P_14_202_1_a_1_d: Information from (a)(2)(i) and (a)(2)(iv) inserted in block 9 of SF 1447,(P_14_202_1_a_1_a ∨ P_14_202_1_a_1_b) ∧ (P_14_202_1_a_1_c ⊃ P_14_202_1_a_1_d),None,Disjunction (Add): Rule 8; Conjunction (Conj): Rule 7; Material Implication (Impl): Rule 15 [HIGH-RISK],PENDING_REVIEW,PASS,PASS,Permissive 'may' for form selection (disjunction). Conditional requirement when SF 1447 used as IFB. HIGH-RISK: implication models the 'when' conditional for SF 1447 usage.,MEDIUM
